customer_id,session_id,session_date,month,quarter,is_weekend,device_type,traffic_source,city_tier,gender,age,product_category,visited_site,added_to_cart,reached_checkout,entered_payment_details,purchase_completed,funnel_drop_stage,num_items_in_cart,cart_value_inr,time_on_site_min,page_views,page_load_time_sec,is_returning_customer,previous_purchases,payment_method,discount_applied,coupon_code,payment_failed,email_reminder_sent,recovered_after_reminder,day_name
CUST_56827,SESS_00978,2024-12-13,12,Q4,0,Tablet,Paid_Ad,Tier 2,Male,33.0,Beauty,1,0,0,0,0,Browsed_Only,2.0,37.63,15.6,6.0,5.83,1,14.0,credit_card,0,,,0,No,Friday
CUST_43526,SESS_00210,2023-06-02,6,Q2,0,Tablet,Organic,Tier 2,Female,39.0,Books,1,0,0,0,0,Browsed_Only,1.0,0.0,2.8,3.0,0.13,1,6.0,credit_card,0,,,0,No,Friday
CUST_25389,SESS_00890,2024-10-09,10,Q4,0,Desktop,Referral,Tier 2,Male,17.0,Sports,1,0,0,0,0,Browsed_Only,2.0,91.53,2.6,11.0,1.25,0,12.0,debit_card,0,,,0,No,Wednesday
CUST_99434,SESS_00346,2023-08-26,8,Q3,1,Tablet,Paid_Ad,Tier 1,Female,51.0,Sports,1,1,0,0,0,Cart_Dropped,4.0,26.15,11.2,17.0,3.65,1,0.0,credit_card,0,,,1,Yes,Saturday
CUST_30520,SESS_00326,2023-08-12,8,Q3,1,Tablet,Organic,Tier 1,Male,23.0,Sports,1,1,1,0,0,Checkout_Dropped,5.0,31.85,8.6,19.0,1.72,1,15.0,net_banking,0,,,1,,Saturday
CUST_93336,SESS_00168,2023-05-07,5,Q2,1,Mobile,Paid_Ad,Tier 3,Female,36.0,Toys,1,0,0,0,0,Browsed_Only,7.0,91.21,13.6,12.0,2.64,1,17.0,cash_on_delivery,0,,,0,No,Sunday
CUST_19455,SESS_00834,2024-08-30,8,Q3,0,Desktop,Organic,Tier 1,Female,25.0,Electronics,1,1,1,1,1,Completed_Purchase,3.0,10000.0,9.4,11.0,1.3,1,6.0,upi,1,WELCOME,0,0,No,Friday
CUST_65765,SESS_00393,2023-09-24,9,Q3,1,Tablet,Organic,Tier 2,Male,28.0,Electronics,1,1,1,0,0,Checkout_Dropped,4.0,13.67,7.9,10.0,3.44,0,16.0,credit_card,1,SALE20,,1,No,Sunday
CUST_27231,SESS_00139,2023-04-10,4,Q2,0,Desktop,Paid_Ad,Tier 2,Male,35.0,Electronics,1,1,0,0,0,Cart_Dropped,5.0,29.16,15.8,2.0,0.66,0,17.0,credit_card,1,SAVE10,,1,No,Monday
CUST_96144,SESS_00103,2023-03-17,3,Q1,0,Mobile,Direct,Tier 2,Male,31.0,Home & Kitchen,1,0,0,0,0,Browsed_Only,2.0,13.26,17.1,5.0,2.64,0,0.0,credit_card,0,,,0,No,Friday
CUST_42922,SESS_00200,2023-05-21,5,Q2,1,Mobile,Social,Tier 3,Female,39.0,Books,1,1,1,1,1,Completed_Purchase,6.0,77.97,11.5,9.0,1.42,0,0.0,debit_card,0,,0,0,No,Sunday
CUST_61983,SESS_00764,2024-07-01,7,Q3,0,Desktop,Organic,Tier 3,Other,41.0,Fashion,1,1,1,1,1,Completed_Purchase,7.0,76.07,9.6,13.0,0.07,1,16.0,upi,1,FLASH50,0,0,No,Monday
CUST_35924,SESS_00176,2023-05-12,5,Q2,0,Desktop,Organic,Tier 1,Female,36.0,Fashion,1,1,1,1,1,Completed_Purchase,4.0,76.07,4.7,19.0,4.67,0,0.0,debit_card,1,WELCOME,0,0,No,Friday
CUST_73221,SESS_00977,2024-12-13,12,Q4,0,Desktop,Organic,Tier 1,Female,34.0,Sports,1,1,0,0,0,Cart_Dropped,7.0,0.0,11.8,3.0,7.72,0,0.0,net_banking,1,DIWALI30,,1,No,Friday
CUST_68603,SESS_00886,2024-10-05,10,Q4,1,Mobile,Organic,Tier 1,Male,3.0,Fashion,1,1,1,1,1,Completed_Purchase,4.0,306.67,7.8,6.0,2.64,0,0.0,upi,1,SALE20,0,0,No,Saturday
CUST_73370,SESS_00142,2023-04-13,4,Q2,0,Mobile,Organic,Tier 2,Male,22.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,2.0,91.47,6.5,16.0,2.64,0,0.0,cash_on_delivery,1,FLASH50,,1,No,Thursday
CUST_52038,SESS_00123,2023-03-30,3,Q1,0,Tablet,Paid_Ad,Tier 1,Male,32.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,7.0,124.96,8.7,19.0,3.42,1,8.0,upi,0,,,1,No,Thursday
CUST_61266,SESS_00728,2024-06-06,6,Q2,0,Desktop,Paid_Ad,Tier 1,Male,30.0,Home & Kitchen,1,1,1,1,1,Completed_Purchase,3.0,261.42,4.7,13.0,2.02,0,0.0,upi,0,,0,0,No,Thursday
CUST_84541,SESS_00472,2023-11-17,11,Q4,0,Tablet,Paid_Ad,Tier 1,Male,37.0,Fashion,1,1,1,1,1,Completed_Purchase,5.0,10000.0,22.0,6.0,1.6,1,8.0,cash_on_delivery,0,,0,0,No,Friday
CUST_99885,SESS_00098,2023-03-14,3,Q1,0,Desktop,Email,Tier 2,Male,30.0,Electronics,1,1,1,0,0,Checkout_Dropped,4.0,91.84,7.5,8.0,4.31,0,15.0,debit_card,0,,,1,Yes,Tuesday
CUST_82563,SESS_00933,2024-11-13,11,Q4,0,Mobile,Email,Tier 2,Female,41.0,Electronics,1,0,0,0,0,Browsed_Only,7.0,76.07,8.4,11.0,3.25,0,14.0,credit_card,1,DIWALI30,,0,No,Wednesday
CUST_26004,SESS_00340,2023-08-24,8,Q3,0,Desktop,Organic,Tier 2,Female,26.0,Toys,1,0,0,0,0,Browsed_Only,3.0,260.13,25.4,6.0,4.03,0,0.0,cash_on_delivery,0,,,0,No,Thursday
CUST_43866,SESS_00410,2023-10-05,10,Q4,0,Mobile,Paid_Ad,Tier 1,Female,28.0,Electronics,1,0,0,0,0,Browsed_Only,4.0,103.45,16.5,10.0,4.05,1,7.0,credit_card,1,,,0,No,Thursday
CUST_67787,SESS_00343,2023-08-25,8,Q3,0,Desktop,Organic,Tier 1,Female,22.0,Beauty,1,1,1,0,0,Checkout_Dropped,1.0,61.59,14.6,1.0,0.19,0,2.0,debit_card,0,,,0,No,Friday
CUST_93351,SESS_00111,2023-03-23,3,Q1,0,Tablet,Paid_Ad,Tier 3,Female,24.0,Beauty,1,1,0,0,0,Cart_Dropped,5.0,89.48,5.0,15.0,8.57,0,4.0,upi,0,SUMMER15,,0,No,Thursday
CUST_26755,SESS_00965,2024-12-04,12,Q4,0,Mobile,Paid_Ad,Tier 1,Male,34.0,Beauty,1,1,0,0,0,Cart_Dropped,2.0,128.38,11.7,16.0,1.63,0,1.0,upi,0,,,0,No,Wednesday
CUST_15598,SESS_00199,2023-05-20,5,Q2,1,Mobile,Organic,Tier 2,Female,31.0,Fashion,1,1,1,1,1,Completed_Purchase,5.0,87.01,7.8,12.0,1.78,1,5.0,upi,0,,0,0,No,Saturday
CUST_71220,SESS_00924,2024-11-07,11,Q4,0,Desktop,Paid_Ad,Tier 3,Female,30.0,Beauty,1,1,1,1,1,Completed_Purchase,6.0,111.23,12.7,14.0,4.01,0,11.0,credit_card,0,,0,0,No,Thursday
CUST_88157,SESS_00846,2023-09-14,9,Q3,0,Desktop,Paid_Ad,Tier 2,Male,31.0,Fashion,1,1,1,1,0,Payment_Dropped,4.0,44.41,7.3,8.0,7.9,0,0.0,credit_card,1,FLASH50,0,0,No,Thursday
CUST_55826,SESS_00814,2024-08-09,8,Q3,0,Desktop,Paid_Ad,Tier 2,Male,42.0,Fashion,1,1,0,0,0,Cart_Dropped,5.0,440.51,2.4,8.0,0.37,0,0.0,net_banking,0,,,0,No,Friday
CUST_32834,SESS_00507,2023-12-15,12,Q4,0,Desktop,Organic,Tier 1,Male,31.0,Toys,1,1,0,0,0,Cart_Dropped,6.0,42.82,5.6,11.0,2.81,0,0.0,credit_card,0,,,1,No,Friday
CUST_55097,SESS_00261,2023-07-01,7,Q3,1,Desktop,Organic,Tier 2,Female,32.0,Toys,1,1,0,0,0,Cart_Dropped,4.0,45.18,22.8,13.0,1.77,0,0.0,upi,0,,,0,No,Saturday
CUST_61143,SESS_00552,2024-01-18,1,Q1,0,Mobile,Referral,Tier 2,Male,32.0,Beauty,1,1,0,0,0,Cart_Dropped,7.0,55.12,12.1,15.0,2.64,1,12.0,wallet,0,,,1,Yes,Thursday
CUST_70198,SESS_00847,2024-09-10,9,Q3,0,Desktop,Direct,Tier 2,Male,28.0,Toys,1,0,0,0,0,Browsed_Only,3.0,76.07,12.1,10.0,4.06,0,1.0,wallet,0,,,0,No,Tuesday
CUST_93230,SESS_00741,2024-06-19,6,Q2,0,Desktop,Organic,Tier 3,Female,24.0,Electronics,1,1,1,1,0,Payment_Dropped,3.0,160.96,6.1,7.0,1.73,1,12.0,cash_on_delivery,0,,1,1,No,Wednesday
CUST_78674,SESS_00428,2023-10-22,10,Q4,1,Tablet,Email,Tier 2,Female,31.0,Fashion,1,1,1,1,0,Payment_Dropped,7.0,63.79,10.5,7.0,1.43,0,0.0,cash_on_delivery,1,WELCOME,1,0,No,Sunday
CUST_64683,SESS_00446,2023-10-31,10,Q4,0,Desktop,Referral,Tier 1,Male,27.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,3.0,84.86,32.9,17.0,4.46,1,13.0,debit_card,0,,,0,No,Tuesday
CUST_41168,SESS_00207,2023-05-30,5,Q2,0,Mobile,Paid_Ad,Tier 2,Female,29.0,Electronics,1,1,0,0,0,Cart_Dropped,4.0,13.68,12.4,10.0,7.0,1,17.0,credit_card,0,,,1,No,Tuesday
CUST_80269,SESS_00352,2023-08-29,8,Q3,0,Desktop,Direct,Tier 1,Male,40.0,Fashion,1,0,0,0,0,Browsed_Only,4.0,73.45,4.7,18.0,5.89,1,13.0,credit_card,0,,,0,No,Tuesday
CUST_62552,SESS_00015,2023-01-11,1,Q1,0,Mobile,Organic,Tier 1,Female,20.0,Sports,1,1,1,1,1,Completed_Purchase,3.0,205.54,12.9,4.0,4.09,1,9.0,upi,0,,0,0,No,Wednesday
CUST_60244,SESS_00879,2024-10-02,10,Q4,0,Mobile,Organic,Tier 3,Female,13.0,Electronics,1,1,1,1,1,Completed_Purchase,1.0,18.87,17.6,9.0,2.64,0,0.0,net_banking,0,,0,0,No,Wednesday
CUST_79750,SESS_00114,2023-03-24,3,Q1,0,Desktop,Email,Tier 3,Female,30.0,Fashion,1,1,0,0,0,Cart_Dropped,7.0,295.22,11.7,9.0,7.25,0,2.0,debit_card,1,SALE20,,0,No,Friday
CUST_58895,SESS_00078,2023-02-25,2,Q1,1,Tablet,Organic,Tier 1,Male,36.0,Electronics,1,1,0,0,0,Cart_Dropped,6.0,120.08,3.6,18.0,9.94,0,13.0,wallet,1,,,1,No,Saturday
CUST_11686,SESS_00967,2024-12-06,12,Q4,0,Desktop,Organic,Tier 3,Female,35.0,Home & Kitchen,1,1,1,1,1,Completed_Purchase,7.0,15.49,22.2,10.0,5.8,1,10.0,debit_card,0,,0,0,No,Friday
CUST_51748,SESS_00587,2024-02-11,2,Q1,1,Mobile,Organic,Tier 2,Female,31.0,Electronics,1,1,0,0,0,Cart_Dropped,3.0,61.9,1.5,12.0,0.13,0,3.0,wallet,0,,,0,No,Sunday
CUST_10499,SESS_00901,2024-10-18,10,Q4,0,Desktop,Referral,Tier 1,Female,28.0,Home & Kitchen,1,0,0,0,0,Browsed_Only,2.0,156.99,9.6,5.0,5.29,0,0.0,credit_card,0,,,0,No,Friday
CUST_27833,SESS_00461,2023-11-11,11,Q4,1,Desktop,Direct,Tier 1,Female,28.0,Fashion,1,1,1,0,0,Checkout_Dropped,4.0,131.05,17.1,3.0,3.28,nan,13.0,upi,0,,,0,No,Saturday
CUST_57349,SESS_00523,2023-12-27,12,Q4,0,Tablet,Social,Tier 2,Male,26.0,Books,1,0,0,0,0,Browsed_Only,6.0,51.93,7.3,12.0,5.06,1,14.0,credit_card,1,WELCOME,,0,No,Wednesday
CUST_35277,SESS_00495,2023-12-04,12,Q4,0,Desktop,Organic,Tier 3,Male,40.0,Fashion,1,1,1,0,0,Checkout_Dropped,3.0,207.6,4.1,14.0,6.53,1,16.0,cash_on_delivery,1,SAVE10,,0,No,Monday
CUST_14183,SESS_00441,2023-10-30,10,Q4,0,Desktop,Email,Tier 3,Male,32.0,Beauty,1,1,0,0,0,Cart_Dropped,7.0,25.6,9.6,13.0,2.31,0,0.0,upi,0,,,0,No,Monday
CUST_30517,SESS_00702,2024-05-16,5,Q2,0,Desktop,Organic,Tier 1,Male,44.0,Electronics,1,1,0,0,0,Cart_Dropped,4.0,32.79,15.9,5.0,4.75,0,10.0,credit_card,0,,,1,No,Thursday
CUST_43702,SESS_00052,2023-02-03,2,Q1,0,Desktop,Social,Tier 1,Male,35.0,Home & Kitchen,1,0,0,0,0,Browsed_Only,2.0,22.47,3.3,1.0,4.74,1,0.0,debit_card,0,,,0,No,Friday
CUST_28918,SESS_00217,2023-06-06,6,Q2,0,Mobile,Email,Tier 1,Female,29.0,Electronics,1,1,1,1,1,Completed_Purchase,6.0,76.07,3.3,5.0,1.94,0,2.0,credit_card,1,SUMMER15,0,0,No,Tuesday
CUST_61003,SESS_00293,2023-07-22,7,Q3,1,Desktop,Social,Tier 3,Male,19.0,Beauty,1,1,1,1,0,Payment_Dropped,2.0,65.31,5.9,13.0,2.7,0,14.0,credit_card,0,,1,1,No,Saturday
CUST_86660,SESS_00810,2024-08-06,8,Q3,0,Desktop,Organic,Tier 2,Female,38.0,Electronics,1,0,0,0,0,Browsed_Only,4.0,19.54,9.6,17.0,2.2,0,0.0,net_banking,0,,,0,No,Tuesday
CUST_72788,SESS_00606,2024-02-24,2,Q1,1,Desktop,Paid_Ad,Tier 1,Male,24.0,Fashion,1,1,0,0,0,Cart_Dropped,1.0,250.48,10.4,4.0,2.7,1,14.0,credit_card,0,,,1,Yes,Saturday
CUST_41305,SESS_00214,2023-06-04,6,Q2,1,Mobile,Social,Tier 3,Male,17.0,Fashion,1,1,1,1,1,Completed_Purchase,1.0,205.34,11.0,10.0,2.64,0,0.0,debit_card,0,WELCOME,0,0,No,Sunday
CUST_33919,SESS_00800,2024-07-28,7,Q3,1,Mobile,Direct,Tier 2,Male,24.0,Electronics,1,1,0,0,0,Cart_Dropped,4.0,13.65,16.2,19.0,2.64,1,6.0,wallet,0,,,0,No,Sunday
CUST_38949,SESS_00996,2024-12-29,12,Q4,1,Tablet,Organic,Tier 1,Male,19.0,Sports,1,1,1,1,0,Payment_Dropped,0.0,277.14,5.2,16.0,3.32,0,2.0,debit_card,0,,1,0,No,Sunday
CUST_37491,SESS_00492,2023-12-03,12,Q4,1,Desktop,Social,Tier 3,Male,29.0,Electronics,1,0,0,0,0,Browsed_Only,7.0,270.61,10.7,8.0,1.19,0,0.0,cash_on_delivery,0,,,0,No,Sunday
CUST_84757,SESS_00521,2023-12-23,12,Q4,1,Desktop,Social,Tier 1,Male,0.0,Beauty,1,0,0,0,0,Browsed_Only,2.0,48.18,2.8,10.0,3.7,1,0.0,upi,1,SUMMER15,,0,No,Saturday
CUST_21730,SESS_00872,2024-09-25,9,Q3,0,Tablet,Social,Tier 1,Female,31.0,Electronics,1,1,0,0,0,Cart_Dropped,3.0,23.49,3.8,6.0,4.33,1,16.0,credit_card,1,SALE20,,0,No,Wednesday
CUST_80188,SESS_00300,2023-07-26,7,Q3,0,Mobile,Direct,Tier 2,Female,48.0,Sports,1,1,1,1,1,Completed_Purchase,4.0,0.0,14.1,3.0,1.21,1,9.0,credit_card,0,,0,0,No,Wednesday
CUST_67507,SESS_00336,2023-08-22,8,Q3,0,Desktop,Organic,Tier 3,Female,30.0,Sports,1,0,0,0,0,Browsed_Only,4.0,192.23,13.0,3.0,2.64,0,16.0,debit_card,0,,,0,No,Tuesday
CUST_38552,SESS_00870,2024-09-23,9,Q3,0,Desktop,Referral,Tier 1,Male,25.0,Sports,1,1,0,0,0,Cart_Dropped,5.0,195.13,10.7,3.0,0.77,0,17.0,cash_on_delivery,1,,,0,No,Monday
CUST_38727,SESS_00496,2023-12-04,12,Q4,0,Tablet,Social,Tier 3,Female,31.0,Toys,1,0,0,0,0,Browsed_Only,5.0,12.57,19.7,15.0,4.33,1,9.0,upi,1,,,0,No,Monday
CUST_10145,SESS_00925,2024-11-08,11,Q4,0,Desktop,Referral,Tier 1,Male,32.0,Toys,1,1,0,0,0,Cart_Dropped,4.0,191.43,32.3,10.0,2.93,0,7.0,credit_card,0,,,1,Yes,Friday
CUST_43536,SESS_00071,2023-02-18,2,Q1,1,Mobile,Direct,Tier 2,Male,35.0,Sports,1,1,1,0,0,Checkout_Dropped,6.0,188.13,2.9,17.0,4.49,1,9.0,debit_card,0,,,0,No,Saturday
CUST_76276,SESS_00840,2024-09-05,9,Q3,0,Desktop,Paid_Ad,Tier 3,Female,20.0,Beauty,1,1,1,1,0,Payment_Dropped,3.0,80.97,3.0,10.0,1.46,0,6.0,cash_on_delivery,0,,0,1,No,Thursday
CUST_86185,SESS_00048,2023-02-02,2,Q1,0,Desktop,Email,Tier 3,Female,31.0,Electronics,1,1,1,1,1,Completed_Purchase,4.0,49.52,4.8,6.0,0.95,1,14.0,upi,0,,0,0,No,Thursday
CUST_67124,SESS_00586,2024-02-11,2,Q1,1,Mobile,Paid_Ad,Tier 3,Male,22.0,Electronics,1,1,1,1,1,Completed_Purchase,6.0,147.96,1.7,4.0,8.86,0,12.0,debit_card,0,,0,0,No,Sunday
CUST_57348,SESS_00994,2024-12-26,12,Q4,0,Desktop,Organic,Tier 2,Male,21.0,Beauty,1,1,1,0,0,Checkout_Dropped,2.0,52.93,13.6,12.0,2.47,0,2.0,credit_card,0,,,0,No,Thursday
CUST_64150,SESS_00431,2023-10-23,10,Q4,0,Mobile,Organic,Tier 3,Male,40.0,Beauty,1,1,1,0,0,Checkout_Dropped,1.0,87.31,7.4,5.0,3.15,1,7.0,wallet,0,,,1,No,Monday
CUST_96782,SESS_00280,2023-07-14,7,Q3,0,Tablet,Organic,Tier 2,Male,36.0,Books,1,0,0,0,0,Browsed_Only,2.0,107.12,0.8,5.0,1.01,1,6.0,cash_on_delivery,0,,,0,No,Friday
CUST_83695,SESS_00804,2024-08-01,8,Q3,0,Mobile,Organic,Tier 2,Male,32.0,Electronics,1,1,0,0,0,Cart_Dropped,1.0,147.68,10.0,4.0,2.64,1,3.0,upi,0,,,0,No,Thursday
CUST_12786,SESS_00191,2023-05-16,5,Q2,0,Mobile,Referral,Tier 3,Male,31.0,Fashion,1,1,0,0,0,Cart_Dropped,6.0,20.7,4.6,9.0,2.64,1,15.0,credit_card,0,,,0,No,Tuesday
CUST_91138,SESS_00894,2024-10-12,10,Q4,1,Desktop,Organic,Tier 3,Male,29.0,Home & Kitchen,1,1,1,1,1,Completed_Purchase,3.0,76.07,3.2,3.0,5.03,1,1.0,net_banking,0,,0,0,No,Saturday
CUST_85641,SESS_00692,2024-05-04,5,Q2,1,Mobile,Organic,Tier 3,Female,31.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,1.0,51.44,5.9,15.0,1.2,1,7.0,nan,0,,,0,No,Saturday
CUST_74907,SESS_00686,2024-05-01,5,Q2,0,Mobile,Email,Tier 3,Male,23.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,4.0,83.56,15.3,3.0,0.26,0,15.0,debit_card,0,,,1,No,Wednesday
CUST_16338,SESS_00341,2023-08-24,8,Q3,0,Mobile,Referral,Tier 3,Male,38.0,Fashion,1,0,0,0,0,Browsed_Only,6.0,123.04,4.7,5.0,2.64,0,0.0,cash_on_delivery,1,WELCOME,,0,No,Thursday
CUST_56422,SESS_00732,2024-06-08,6,Q2,1,Desktop,Organic,Tier 3,Male,40.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,4.0,137.18,17.2,15.0,2.48,0,0.0,credit_card,1,SUMMER15,,1,No,Saturday
CUST_93078,SESS_00465,2023-11-14,11,Q4,0,Desktop,Paid_Ad,Tier 3,Male,42.0,Fashion,1,1,1,1,1,Completed_Purchase,1.0,102.54,3.1,8.0,4.64,1,9.0,upi,0,,0,0,No,Tuesday
CUST_58233,SESS_00743,2024-06-19,6,Q2,0,Mobile,Referral,Tier 2,Male,31.0,Sports,1,1,1,1,1,Completed_Purchase,5.0,85.05,4.6,10.0,2.64,0,0.0,cash_on_delivery,1,SALE20,0,0,No,Wednesday
CUST_66589,SESS_00650,2024-03-23,3,Q1,1,Tablet,Email,Tier 1,Male,33.0,Fashion,1,1,1,0,0,Checkout_Dropped,5.0,61.16,17.7,12.0,6.61,0,15.0,wallet,1,SALE20,,1,No,Saturday
CUST_58411,SESS_00580,2024-02-05,2,Q1,0,Mobile,Direct,Tier 2,Male,35.0,Beauty,1,1,0,0,0,Cart_Dropped,2.0,219.34,3.4,6.0,2.64,0,10.0,debit_card,1,SAVE10,,0,No,Monday
CUST_70902,SESS_00502,2023-12-11,12,Q4,0,Mobile,Referral,Tier 1,Male,25.0,Fashion,1,1,1,0,0,Checkout_Dropped,1.0,69.08,36.3,14.0,3.16,nan,15.0,upi,1,DIWALI30,,1,Yes,Monday
CUST_24063,SESS_00357,2023-09-04,9,Q3,0,Mobile,Paid_Ad,Tier 2,Female,26.0,Toys,1,1,0,0,0,Cart_Dropped,7.0,232.04,10.7,17.0,1.84,1,9.0,cash_on_delivery,0,,,0,No,Monday
CUST_48194,SESS_00526,2023-12-29,12,Q4,0,Desktop,Direct,Tier 3,Female,33.0,Toys,1,1,0,0,0,Cart_Dropped,4.0,209.36,11.6,4.0,3.6,0,0.0,credit_card,0,,,0,No,Friday
CUST_51779,SESS_00402,2023-09-28,9,Q3,0,Desktop,Social,Tier 2,Female,24.0,Beauty,1,1,1,0,0,Checkout_Dropped,4.0,26.38,13.3,2.0,1.14,1,9.0,credit_card,1,DIWALI30,,1,No,Thursday
CUST_78445,SESS_00876,2023-09-14,9,Q3,1,Desktop,Social,Tier 2,Female,37.0,Home & Kitchen,1,0,0,0,0,Browsed_Only,3.0,282.12,2.6,9.0,3.65,0,4.0,debit_card,0,,,0,No,Thursday
CUST_84619,SESS_00803,2023-09-14,9,Q3,0,Mobile,Social,Tier 2,Female,31.0,Home & Kitchen,1,1,1,1,0,Payment_Dropped,1.0,70.83,16.1,2.0,2.64,1,3.0,credit_card,0,,1,1,Yes,Thursday
CUST_69460,SESS_00543,2024-01-14,1,Q1,1,Desktop,Social,Tier 1,Female,25.0,Electronics,1,1,1,1,0,Payment_Dropped,6.0,49.06,5.4,8.0,0.86,nan,6.0,upi,1,DIWALI30,1,0,No,Sunday
CUST_77083,SESS_00512,2023-12-18,12,Q4,0,Mobile,Social,Tier 1,Male,36.0,Home & Kitchen,1,1,1,1,1,Completed_Purchase,1.0,80.06,7.5,11.0,6.52,0,15.0,upi,0,,0,0,No,Monday
CUST_52055,SESS_00770,2024-07-05,7,Q3,0,Desktop,Paid_Ad,Tier 2,Male,28.0,Beauty,1,0,0,0,0,Browsed_Only,7.0,34.86,11.6,16.0,5.51,0,0.0,credit_card,0,,,0,No,Friday
CUST_17803,SESS_00054,2023-02-05,2,Q1,1,Desktop,Email,Tier 1,Female,30.0,Sports,1,0,0,0,0,Browsed_Only,6.0,95.85,8.6,10.0,3.48,0,7.0,upi,1,SALE20,,0,No,Sunday
CUST_13055,SESS_00574,2024-02-02,2,Q1,0,Mobile,Email,Tier 2,Female,35.0,Electronics,1,1,0,0,0,Cart_Dropped,2.0,25.84,48.6,10.0,4.26,0,0.0,wallet,0,,,0,No,Friday
CUST_21741,SESS_00450,2023-11-03,11,Q4,0,Mobile,Referral,Tier 1,Female,29.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,6.0,62.39,3.6,16.0,0.64,0,6.0,upi,0,,,0,No,Friday
CUST_84937,SESS_00974,2024-12-12,12,Q4,0,Desktop,Direct,Tier 2,Female,31.0,Home & Kitchen,1,1,1,1,1,Completed_Purchase,2.0,59.19,9.6,19.0,2.09,0,17.0,upi,0,,0,0,No,Thursday
